setting,length,needle_frac,layer,head,detect_rate,event_rate,retrieval_score,avg_mass,retrieval_rate,copied_first_rate,avg_prompt_len_tokens,avg_distance_tokens
L8192_p0.10,8192,0.1,15,5,0.0,0.0,0.0,8.590201323386282e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,6,0.0,0.0,0.0,0.002120953798294067,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,7,0.0,0.0,0.0,6.628697213941881e-16,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,8,0.0,0.0,0.0,0.007739639282226563,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,9,0.0,0.0,0.0,2.4401593691436575e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,10,0.0,0.0,0.0,0.0004912592470645904,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,15,11,0.0,0.0,0.0,7.420629262924194e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,0,0.0,0.0,0.0,0.002292872965335846,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,1,0.0,0.0,0.0,0.020574045181274415,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,2,0.0,0.0,0.0,0.024558770656585693,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,3,0.0,0.0,0.0,0.008669543266296386,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,4,0.0,0.0,0.0,0.021011877059936523,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,5,0.0,0.0,0.0,0.002015484869480133,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,6,0.0,0.0,0.0,0.002559998631477356,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,7,0.0,0.0,0.0,0.002917143702507019,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,8,0.0,0.0,0.0,0.0015125587582588197,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,9,0.0,0.0,0.0,0.0009328104555606842,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,10,0.0,0.0,0.0,0.0036634504795074463,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,16,11,0.0,0.0,0.0,0.012553763389587403,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,17,0,0.0,0.0,0.0,0.0005608055740594864,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,17,1,0.0,0.0,0.0,0.00286610871553421,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,17,2,0.0,0.0,0.0,0.007567715644836426,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,17,3,0.025,0.025,0.025,0.07249655723571777,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,17,4,0.0,0.0,0.0,0.0009778521955013276,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,17,5,0.0,0.0,0.0,0.0003814065828919411,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,17,6,0.5,0.5,0.5,0.14648113250732422,1.0,1.0,8135.25,7251.275
