group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
strong13,alias,101236,8192,8192,0.5,896301,13,-1.6783846219380696,-3.2309048970540366,-1.552520275115967
core19,alias,101236,8192,8192,0.5,896301,19,-1.6783846219380696,-3.1057103474934897,-1.4273257255554201
first_token_sink,alias,101236,8192,8192,0.5,896301,6,-1.6783846219380696,-1.9907751083374023,-0.31239048639933276
query_tail,alias,101236,8192,8192,0.5,896301,9,-1.6783846219380696,-2.7722819646199546,-1.093897342681885
answer_address_inactive_control,alias,101236,8192,8192,0.5,896301,3,-1.6783846219380696,-1.7199877103169758,-0.04160308837890625
query_tail_inactive_control,alias,101236,8192,8192,0.5,896301,9,-1.6783846219380696,-1.699178695678711,-0.02079407374064135
answer_address,alias,101237,8192,8192,0.5,847571,3,-1.6996288299560547,-1.9815537134806316,-0.2819248835245769
non_address_core,alias,101237,8192,8192,0.5,847571,16,-1.6996288299560547,-3.0853519439697266,-1.3857231140136719
strong13,alias,101237,8192,8192,0.5,847571,13,-1.6996288299560547,-3.3151327768961587,-1.615503946940104
core19,alias,101237,8192,8192,0.5,847571,19,-1.6996288299560547,-3.2104098002115884,-1.5107809702555337
first_token_sink,alias,101237,8192,8192,0.5,847571,6,-1.6996288299560547,-2.0325295130411782,-0.33290068308512355
query_tail,alias,101237,8192,8192,0.5,847571,9,-1.6996288299560547,-2.8770341873168945,-1.1774053573608398
answer_address_inactive_control,alias,101237,8192,8192,0.5,847571,3,-1.6996288299560547,-1.6891234715779622,0.010505358378092522
query_tail_inactive_control,alias,101237,8192,8192,0.5,847571,9,-1.6996288299560547,-1.689022699991862,0.010606129964192634
answer_address,alias,101238,8192,8192,0.5,223928,3,-1.761636734008789,-2.0542146364847818,-0.2925779024759927
non_address_core,alias,101238,8192,8192,0.5,223928,16,-1.761636734008789,-3.3991827964782715,-1.6375460624694824
strong13,alias,101238,8192,8192,0.5,223928,13,-1.761636734008789,-3.3148956298828125,-1.5532588958740234
core19,alias,101238,8192,8192,0.5,223928,19,-1.761636734008789,-3.3980957667032876,-1.6364590326944985
first_token_sink,alias,101238,8192,8192,0.5,223928,6,-1.761636734008789,-2.1678694089253745,-0.40623267491658543
query_tail,alias,101238,8192,8192,0.5,223928,9,-1.761636734008789,-2.8374334971110025,-1.0757967631022134
answer_address_inactive_control,alias,101238,8192,8192,0.5,223928,3,-1.761636734008789,-1.7720317840576172,-0.010395050048828125
query_tail_inactive_control,alias,101238,8192,8192,0.5,223928,9,-1.761636734008789,-1.7924281756083171,-0.03079144159952807
answer_address,alias,101239,8192,8191,0.5,548522,3,-1.793281078338623,-1.866504192352295,-0.07322311401367188
non_address_core,alias,101239,8192,8191,0.5,548522,16,-1.793281078338623,-3.002290884653727,-1.209009806315104
strong13,alias,101239,8192,8191,0.5,548522,13,-1.793281078338623,-3.1694863637288413,-1.3762052853902182
core19,alias,101239,8192,8191,0.5,548522,19,-1.793281078338623,-2.9609527587890625,-1.1676716804504395
first_token_sink,alias,101239,8192,8191,0.5,548522,6,-1.793281078338623,-2.0742173194885254,-0.28093624114990234
query_tail,alias,101239,8192,8191,0.5,548522,9,-1.793281078338623,-2.7728451093037925,-0.9795640309651694
answer_address_inactive_control,alias,101239,8192,8191,0.5,548522,3,-1.793281078338623,-1.772202491760254,0.02107858657836914
query_tail_inactive_control,alias,101239,8192,8191,0.5,548522,9,-1.793281078338623,-1.8033719062805176,-0.010090827941894531
answer_address,alias,101240,8192,8193,0.5,890717,3,-1.6886531511942546,-1.9912153879801433,-0.30256223678588867
non_address_core,alias,101240,8192,8193,0.5,890717,16,-1.6886531511942546,-3.188723882039388,-1.5000707308451335
strong13,alias,101240,8192,8193,0.5,890717,13,-1.6886531511942546,-3.3765509923299155,-1.6878978411356609
core19,alias,101240,8192,8193,0.5,890717,19,-1.6886531511942546,-3.2722803751627603,-1.5836272239685056
first_token_sink,alias,101240,8192,8193,0.5,890717,6,-1.6886531511942546,-2.0530821482340493,-0.3644289970397947
query_tail,alias,101240,8192,8193,0.5,890717,9,-1.6886531511942546,-2.876460393269857,-1.1878072420756023
answer_address_inactive_control,alias,101240,8192,8193,0.5,890717,3,-1.6886531511942546,-1.6886650721232097,-1.1920928955078125e-05
query_tail_inactive_control,alias,101240,8192,8193,0.5,890717,9,-1.6886531511942546,-1.688614050547282,3.910064697265625e-05
answer_address,alias,101241,8192,8192,0.5,184514,3,-1.7574682235717773,-1.8243083953857422,-0.06684017181396484
non_address_core,alias,101241,8192,8192,0.5,184514,16,-1.7574682235717773,-2.958928426106771,-1.2014602025349936
strong13,alias,101241,8192,8192,0.5,184514,13,-1.7574682235717773,-3.093968073527018,-1.3364998499552407
core19,alias,101241,8192,8192,0.5,184514,19,-1.7574682235717773,-3.091787656148275,-1.3343194325764975
first_token_sink,alias,101241,8192,8192,0.5,184514,6,-1.7574682235717773,-2.0393269856770835,-0.28185876210530614
query_tail,alias,101241,8192,8192,0.5,184514,9,-1.7574682235717773,-2.692332903544108,-0.9348646799723306
answer_address_inactive_control,alias,101241,8192,8192,0.5,184514,3,-1.7574682235717773,-1.757459004720052,9.218851725334432e-06
query_tail_inactive_control,alias,101241,8192,8192,0.5,184514,9,-1.7574682235717773,-1.761672019958496,-0.00420379638671875
answer_address,paraphrase,201234,8192,8192,0.5,193786,3,-2.156572182973226,-2.1253979206085205,0.03117426236470555
non_address_core,paraphrase,201234,8192,8192,0.5,193786,16,-2.156572182973226,-3.250179628531138,-1.093607445557912
strong13,paraphrase,201234,8192,8192,0.5,193786,13,-2.156572182973226,-3.0836232900619507,-0.9270511070887246
core19,paraphrase,201234,8192,8192,0.5,193786,19,-2.156572182973226,-3.3335649172465005,-1.1769927342732744
first_token_sink,paraphrase,201234,8192,8192,0.5,193786,6,-2.156572182973226,-2.6565072536468506,-0.4999350706736245
query_tail,paraphrase,201234,8192,8192,0.5,193786,9,-2.156572182973226,-2.916979193687439,-0.7604070107142129
answer_address_inactive_control,paraphrase,201234,8192,8192,0.5,193786,3,-2.156572182973226,-2.2086424032847085,-0.05207022031148245
query_tail_inactive_control,paraphrase,201234,8192,8192,0.5,193786,9,-2.156572182973226,-2.177384853363037,-0.02081267038981105
answer_address,paraphrase,201235,8192,8192,0.5,207278,3,-2.283317804336548,-2.2845401763916016,-0.001222372055053711
non_address_core,paraphrase,201235,8192,8192,0.5,207278,16,-2.283317804336548,-3.6894659201304116,-1.4061481157938638
strong13,paraphrase,201235,8192,8192,0.5,207278,13,-2.283317804336548,-3.41953714688619,-1.136219342549642
core19,paraphrase,201235,8192,8192,0.5,207278,19,-2.283317804336548,-3.710829257965088,-1.42751145362854
first_token_sink,paraphrase,201235,8192,8192,0.5,207278,6,-2.283317804336548,-2.9181106885274253,-0.6347928841908774
