condition,patch_group,ablate_group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,clean_logprob,corrupt_clean_logprob,patched_logprob,patch_only_logprob,delta_patch,delta_vs_patch_only,recovery_denominator,recovery_fraction
ablate_only_non_address_core,,non_address_core,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-5.364583333333333,-4.057291666666667,-0.5546875,-1.307291666666666,2.8899636268615723,-0.19193580668085317
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.723958333333333,-4.057291666666667,0.0859375,-0.6666666666666661,2.8899636268615723,0.029736533429427954
ablate_only_query_tail_inactive_control,,query_tail_inactive_control,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.643229166666667,-4.057291666666667,0.16666666666666607,-0.5859375,2.8899636268615723,0.05767085271161765
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-3.9921875,-4.057291666666667,0.817708333333333,0.06510416666666696,2.8899636268615723,0.282947621116375
ablate_only_answer_address_inactive_control,,answer_address_inactive_control,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.744791666666667,-4.057291666666667,0.06510416666666607,-0.6875,2.8899636268615723,0.02252767684047552
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.0390625,-4.057291666666667,0.770833333333333,0.018229166666666963,2.8899636268615723,0.26672769379123246
patch_only,answer_address,,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-3.7473958333333335,-3.7473958333333335,0.6341145833333335,0.0,2.5977767308553066,0.24409895423328165
ablate_only_query_tail,,query_tail,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-5.09765625,-3.7473958333333335,-0.716145833333333,-1.3502604166666665,2.5977767308553066,-0.2756764370191064
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-4.393229166666667,-3.7473958333333335,-0.01171875,-0.6458333333333335,2.5977767308553066,-0.004511068969403561
ablate_only_first_token_sink,,first_token_sink,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-4.583333333333333,-3.7473958333333335,-0.20182291666666607,-0.8359374999999996,2.5977767308553066,-0.07769063225083889
