group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
strong13,distractor_heavy,401234,8192,8193,0.1,210681,13,-2.2505248387654624,-3.646601994832357,-1.3960771560668945
core19,distractor_heavy,401234,8192,8193,0.1,210681,19,-2.2505248387654624,-3.646513303120931,-1.3959884643554688
first_token_sink,distractor_heavy,401234,8192,8193,0.1,210681,6,-2.2505248387654624,-2.7297229766845703,-0.4791981379191079
query_tail,distractor_heavy,401234,8192,8193,0.1,210681,9,-2.2505248387654624,-3.2714106241861978,-1.0208857854207354
answer_address,distractor_heavy,401235,8192,8193,0.1,639039,3,-2.0219222704569497,-2.1992858250935874,-0.17736355463663767
non_address_core,distractor_heavy,401235,8192,8193,0.1,639039,16,-2.0219222704569497,-3.1887998580932617,-1.166877587636312
strong13,distractor_heavy,401235,8192,8193,0.1,639039,13,-2.0219222704569497,-3.4183616638183594,-1.3964393933614097
core19,distractor_heavy,401235,8192,8193,0.1,639039,19,-2.0219222704569497,-3.3348878224690757,-1.312965552012126
first_token_sink,distractor_heavy,401235,8192,8193,0.1,639039,6,-2.0219222704569497,-2.4488536516825357,-0.42693138122558594
query_tail,distractor_heavy,401235,8192,8193,0.1,639039,9,-2.0219222704569497,-3.0847365061442056,-1.0628142356872559
answer_address,distractor_heavy,401236,8192,8192,0.1,705589,3,-1.9497793515523274,-2.2522875467936196,-0.30250819524129224
non_address_core,distractor_heavy,401236,8192,8192,0.1,705589,16,-1.9497793515523274,-3.023834705352783,-1.0740553538004558
strong13,distractor_heavy,401236,8192,8192,0.1,705589,13,-1.9497793515523274,-3.2944178581237793,-1.344638506571452
core19,distractor_heavy,401236,8192,8192,0.1,705589,19,-1.9497793515523274,-3.232513109842936,-1.2827337582906086
first_token_sink,distractor_heavy,401236,8192,8192,0.1,705589,6,-1.9497793515523274,-2.3557666142781577,-0.4059872627258303
query_tail,distractor_heavy,401236,8192,8192,0.1,705589,9,-1.9497793515523274,-2.794013818105062,-0.8442344665527346
answer_address,distractor_heavy,401237,8192,8192,0.1,577255,3,-2.0298563639322915,-2.164611498514811,-0.13475513458251953
non_address_core,distractor_heavy,401237,8192,8192,0.1,577255,16,-2.0298563639322915,-2.870649973551432,-0.8407936096191406
strong13,distractor_heavy,401237,8192,8192,0.1,577255,13,-2.0298563639322915,-3.2348512013753257,-1.2049948374430342
core19,distractor_heavy,401237,8192,8192,0.1,577255,19,-2.0298563639322915,-3.2581373850504556,-1.228281021118164
first_token_sink,distractor_heavy,401237,8192,8192,0.1,577255,6,-2.0298563639322915,-2.3819502194722495,-0.352093855539958
query_tail,distractor_heavy,401237,8192,8192,0.1,577255,9,-2.0298563639322915,-2.8039120038350425,-0.774055639902751
answer_address,distractor_heavy,401238,8192,8192,0.1,984712,3,-2.0761286417643228,-2.3271716435750327,-0.25104300181070993
non_address_core,distractor_heavy,401238,8192,8192,0.1,984712,16,-2.0761286417643228,-3.1487083435058594,-1.0725797017415366
strong13,distractor_heavy,401238,8192,8192,0.1,984712,13,-2.0761286417643228,-3.4004767735799155,-1.3243481318155927
core19,distractor_heavy,401238,8192,8192,0.1,984712,19,-2.0761286417643228,-3.3576709429423013,-1.2815423011779785
first_token_sink,distractor_heavy,401238,8192,8192,0.1,984712,6,-2.0761286417643228,-2.5134064356486,-0.43727779388427734
query_tail,distractor_heavy,401238,8192,8192,0.1,984712,9,-2.0761286417643228,-3.1070404052734375,-1.0309117635091147
answer_address,distractor_heavy,401239,8192,8192,0.1,836886,3,-1.9511070251464844,-2.2025988896687827,-0.2514918645222983
non_address_core,distractor_heavy,401239,8192,8192,0.1,836886,16,-1.9511070251464844,-3.0453710556030273,-1.094264030456543
strong13,distractor_heavy,401239,8192,8192,0.1,836886,13,-1.9511070251464844,-3.420501391092936,-1.4693943659464517
core19,distractor_heavy,401239,8192,8192,0.1,836886,19,-1.9511070251464844,-3.4624306360880532,-1.5113236109415689
first_token_sink,distractor_heavy,401239,8192,8192,0.1,836886,6,-1.9511070251464844,-2.336098035176595,-0.3849910100301108
query_tail,distractor_heavy,401239,8192,8192,0.1,836886,9,-1.9511070251464844,-2.837400754292806,-0.8862937291463218
answer_address,distractor_heavy,401240,8192,8193,0.1,453754,3,-2.1962440808614097,-2.37968381245931,-0.1834397315979004
non_address_core,distractor_heavy,401240,8192,8193,0.1,453754,16,-2.1962440808614097,-3.2176796595255532,-1.0214355786641436
strong13,distractor_heavy,401240,8192,8193,0.1,453754,13,-2.1962440808614097,-3.5042311350504556,-1.307987054189046
core19,distractor_heavy,401240,8192,8193,0.1,453754,19,-2.1962440808614097,-3.516552130381266,-1.3203080495198565
first_token_sink,distractor_heavy,401240,8192,8193,0.1,453754,6,-2.1962440808614097,-2.531651337941488,-0.3354072570800781
query_tail,distractor_heavy,401240,8192,8193,0.1,453754,9,-2.1962440808614097,-3.02726682027181,-0.8310227394104004
answer_address,distractor_heavy,401241,8192,8192,0.1,395505,3,-2.2317377726236978,-2.3705314000447593,-0.1387936274210615
non_address_core,distractor_heavy,401241,8192,8192,0.1,395505,16,-2.2317377726236978,-3.3771443367004395,-1.1454065640767417
strong13,distractor_heavy,401241,8192,8192,0.1,395505,13,-2.2317377726236978,-3.5235910415649414,-1.2918532689412436
core19,distractor_heavy,401241,8192,8192,0.1,395505,19,-2.2317377726236978,-3.4828564325968423,-1.2511186599731445
first_token_sink,distractor_heavy,401241,8192,8192,0.1,395505,6,-2.2317377726236978,-2.596259117126465,-0.3645213445027671
query_tail,distractor_heavy,401241,8192,8192,0.1,395505,9,-2.2317377726236978,-3.2686729431152344,-1.0369351704915366
