group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
strong13_inactive_control,alias,101234,8192,8192,0.1,476403,13,-1.9529555638631184,-1.869986852010091,0.08296871185302734
core19_inactive_control,alias,101234,8192,8192,0.1,476403,19,-1.9529555638631184,-1.9936110178629558,-0.04065545399983739
first_token_sink_inactive_control,alias,101234,8192,8192,0.1,476403,6,-1.9529555638631184,-1.890368143717448,0.06258742014567042
query_tail_inactive_control,alias,101234,8192,8192,0.1,476403,9,-1.9529555638631184,-1.9843352635701497,-0.03137969970703125
answer_address,alias,101235,8192,8192,0.1,419257,3,-1.919932206471761,-2.12961753209432,-0.20968532562255882
non_address_core,alias,101235,8192,8192,0.1,419257,16,-1.919932206471761,-3.131025950113932,-1.2110937436421711
strong13,alias,101235,8192,8192,0.1,419257,13,-1.919932206471761,-3.340126355489095,-1.4201941490173342
core19,alias,101235,8192,8192,0.1,419257,19,-1.919932206471761,-3.2566115061442056,-1.3366792996724446
first_token_sink,alias,101235,8192,8192,0.1,419257,6,-1.919932206471761,-2.2627787590026855,-0.34284655253092455
query_tail,alias,101235,8192,8192,0.1,419257,9,-1.919932206471761,-3.0467823346455893,-1.1268501281738283
answer_address_inactive_control,alias,101235,8192,8192,0.1,419257,3,-1.919932206471761,-1.9092421531677246,0.010690053304036384
non_address_inactive_control,alias,101235,8192,8192,0.1,419257,16,-1.919932206471761,-1.961439609527588,-0.0415074030558269
strong13_inactive_control,alias,101235,8192,8192,0.1,419257,13,-1.919932206471761,-1.826020081837972,0.09391212463378906
core19_inactive_control,alias,101235,8192,8192,0.1,419257,19,-1.919932206471761,-1.9087796211242676,0.011152585347493416
first_token_sink_inactive_control,alias,101235,8192,8192,0.1,419257,6,-1.919932206471761,-1.8673901557922363,0.052542050679524666
query_tail_inactive_control,alias,101235,8192,8192,0.1,419257,9,-1.919932206471761,-1.9196553230285645,0.00027688344319654057
answer_address,alias,101236,8192,8192,0.1,896301,3,-1.7837336858113606,-2.0871286392211914,-0.3033949534098308
non_address_core,alias,101236,8192,8192,0.1,896301,16,-1.7837336858113606,-2.982048988342285,-1.1983153025309246
strong13,alias,101236,8192,8192,0.1,896301,13,-1.7837336858113606,-3.253326416015625,-1.4695927302042644
core19,alias,101236,8192,8192,0.1,896301,19,-1.7837336858113606,-3.3158915837605796,-1.532157897949219
first_token_sink,alias,101236,8192,8192,0.1,896301,6,-1.7837336858113606,-2.095963795979818,-0.31223011016845725
query_tail,alias,101236,8192,8192,0.1,896301,9,-1.7837336858113606,-2.731689453125,-0.9479557673136394
answer_address_inactive_control,alias,101236,8192,8192,0.1,896301,3,-1.7837336858113606,-1.8045695622762044,-0.02083587646484375
non_address_inactive_control,alias,101236,8192,8192,0.1,896301,16,-1.7837336858113606,-1.8256263732910156,-0.04189268747965502
